datum,N02BE
1/31/2014,878.03
2/28/2014,1001.9
3/31/2014,779.275
4/30/2014,698.5
5/31/2014,628.78
6/30/2014,548.225
7/31/2014,491.9
8/31/2014,583.85
9/30/2014,887.82
10/31/2014,1856.815
11/30/2014,723.8
12/31/2014,1015.66
1/31/2015,1044.24
2/28/2015,953.252
3/31/2015,1084.85
4/30/2015,940.17
5/31/2015,765.9
6/30/2015,746.788
7/31/2015,708.828
8/31/2015,790.788
9/30/2015,852.125
10/31/2015,1574.335
11/30/2015,1277.725
12/31/2015,1258.349
1/31/2016,1476.324
2/29/2016,1224.862
3/31/2016,1150.7
4/30/2016,998.337
5/31/2016,997.15
6/30/2016,760.05
7/31/2016,652.362
8/31/2016,753.05
9/30/2016,1118.699
10/31/2016,1617.275
11/30/2016,1062.686
12/31/2016,1624.335
1/31/2017,0
2/28/2017,526.35
3/31/2017,612.5
4/30/2017,540.2
5/31/2017,547.94
6/30/2017,496.1
7/31/2017,479.35
8/31/2017,549.3
9/30/2017,863.75
10/31/2017,1184.35
11/30/2017,867.899
12/31/2017,1007.18
1/31/2018,1134.325
2/28/2018,1255.374
3/31/2018,999.123
4/30/2018,836.037
5/31/2018,644.648
6/30/2018,584.343
7/31/2018,679.35
8/31/2018,733.838
9/30/2018,1058.262
10/31/2018,1129.275
11/30/2018,995.15
12/31/2018,1213.95
1/31/2019,1660.612
2/28/2019,1001.212
3/31/2019,941.05
4/30/2019,647.65
5/31/2019,703.562
6/30/2019,610
7/31/2019,649.8
8/31/2019,518.1
9/30/2019,984.48
10/31/2019,295.15
